,cresci_2015__on__cresci_2015,cresci_2015__on__cresci_2017,cresci_2015__on__twibot_2020,cresci_2015__on__twibot_2022,cresci_2017__on__cresci_2015,cresci_2017__on__cresci_2017,cresci_2017__on__twibot_2020,cresci_2017__on__twibot_2022,twibot_2020__on__cresci_2015,twibot_2020__on__cresci_2017,twibot_2020__on__twibot_2020,twibot_2020__on__twibot_2022,twibot_2022__on__cresci_2015,twibot_2022__on__cresci_2017,twibot_2022__on__twibot_2020,twibot_2022__on__twibot_2022
avg_urls,-1.1931818538631607,-1.1481088631094596,-0.997428631229507,-1.145157219717953,-0.6249710291895627,-0.8850319300275508,-0.8300562569128159,-0.9242040702784047,0.45000421092858994,0.44979465670087,0.6037359469428925,0.5999571493107889,0.07804857811817718,0.07814698864337874,0.06132065808695824,0.06719192395988487
statuses_per_day,-0.3812610681947417,-0.3819436285301722,-0.4339691359438118,-0.28389972463514795,0.2516735225600025,1.7797799945544617,0.284500410974819,0.2941278812977859,0.09796971390494573,0.09955716627138203,0.6951663655972772,0.16846307926071968,-0.9551918842287431,-0.9483073559657106,-1.099244877901324,-0.22784224645152026
graph_component_size,0.0,0.0,0.0,0.0,0.0,-2.791598077844773,-2.619727986105068,-2.6062526172640466,0.0,0.04509097540522607,0.10615239911229365,0.07356624247660486,0.0,-0.039406574516989305,-0.020364088504866127,-0.022040737374330804
graph_ff_ratio,0.5704511029446755,-0.12674399559522254,-0.11118558235759307,-0.23030463320840708,0.4612848678638646,1.2199177630474254,1.5137147095972607,1.495282944510305,0.31636515374271174,0.3168866673329109,0.3913502577890325,0.32072716558018133,0.10868811780498407,0.11273516783082523,0.12693673544036657,0.15917590990925978
graph_neighbor_avg_in_degree,0.2382459099748263,0.17226817048259274,0.17469016014973834,0.17187509283652005,1.6852062932779688,0.8607552820386631,1.1399453876079932,1.1086470654185951,-0.16845960889082648,-0.1369535124200396,-0.1543005250591632,-0.21916700037635578,-0.7992853620655462,-0.034086125225597036,-0.1759801770519341,-0.23852615514041986
graph_pagerank,1.030505801764698,1.2441563870584327,1.2946908715268908,1.160444946070495,0.36999730505434464,0.20074453063709644,0.3439232700826908,0.3263794216544921,0.0048966061834991815,0.002793745984992657,-0.34588602952211495,0.08295271681841272,0.029764605282802677,0.009884333846938763,0.010317344404183523,0.025339431758849763
graph_neighbor_avg_degree_total,0.2315855140710681,0.17807527780071966,0.1810639146073048,0.1733421163847255,1.2294142048050902,0.7133088786101874,0.9136066916270145,0.8900658912313093,-0.018200181256837776,-0.01804662704179465,0.036178770461530965,0.022897637993552544,1.2027663592218159,-0.025399412756254472,0.19993853431433464,0.3035158571755695
graph_neighbor_std_degree_total,-0.6519868814088098,-0.154747011379263,-0.1450602559480956,-0.10478032232067305,-1.552249161438647,-1.2784583828293308,-0.8810535836322849,-0.8728045194455402,0.09760096379795391,0.0785556467527511,0.06652651927779508,0.1100431035970908,0.05531280197958427,0.05507815324628268,0.06294523176428783,0.05458053479624861
log1p_friends,-0.5105295372253689,-0.7381993591346242,-0.789909611893615,-0.7591798173197641,0.3599945911212964,0.1708507093780933,0.18218247273489135,0.1530612863636806,0.46943711149398465,0.4683358441968954,0.35321878756845965,0.3587302295296085,-0.20735515392113515,-0.20762717214252915,-0.23453825599535852,-0.2314273638928392
listed_per_day,-0.2317338077612392,0.009120481457733061,-0.027239875832280568,0.03859614321497808,-0.11634855488413072,-0.14880598723739383,-0.1343699913683004,-0.1340538263434946,-1.6940201532716976,-1.6816986165325127,0.8568676047942057,0.1873425845824471,0.0903653043676286,0.08717722154432853,0.23619218525262384,0.3959526409792324
